(01111110,11010101)
(10100110,11110001)
(01110001,01111011)
(00010110,01000100)
(11100100,00011001)
(01011100,11011101)
(11001110,11011110)
(01111101,11000011)
(00101001,01011000)
(01110011,10111011)
(00010001,01000010)
(00101000,00000111)
(01100110,00111001)
(01111100,00100111)
(11011001,00100010)
(00011000,00001110)
(00010010,00010010)
(11100010,00100000)
(00110101,00011000)
(10011100,00000000)
(01011101,00101110)
(11100010,01001001)
(00110111,00100100)
(10001011,01000100)
(11011001,01110110)
(11101111,10010111)
(00011010,11101110)
(01011001,01101001)
(01000001,10001011)
(11100011,01010100)
(10111110,10011101)
(11001010,10001001)
(11000010,10110100)
(01011000,10100001)
(11111101,10110001)
(10001001,01001010)
(11000100,00110011)
(10000111,00110001)
(11111000,11111011)
(11111111,10010110)
(11101110,00011010)
(01000111,00000011)
(10111100,10001000)
(11000111,00101001)
(00101010,00111100)
(00011100,00000110)
(01010101,10110011)
(00110110,01001100)
(01000100,10011010)
(10101100,10111000)
(11111000,10000111)
(00110101,00110100)
(01100010,11010001)
(00011100,00010101)
(01010100,11000110)
(00100100,11000100)
(11011101,00001111)
(00010000,10011000)
(11000011,01011010)
(11101000,10011101)
(11010010,10100111)
(10100010,00010101)
(01001001,11001000)
(01011001,10011001)
(00011010,10110011)
(11010110,00110010)
(10111111,11011111)
(00000110,11000000)
(11100101,01101101)
(01100100,10101111)
(11001000,00001100)
(11100100,10110010)
(01010111,11000000)
(01101110,01100101)
(01001101,10111011)
(01110010,10011110)
(11101100,00101000)
(11101001,00111001)
(00001110,01111110)
(01010100,00101111)
(00111101,10000101)
(11101011,10000100)
(10010000,00010110)
(01001000,11110111)
(11001010,01001100)
(01101111,00101111)
(01001111,00000011)
(00011100,01010001)
(10011101,01010100)
(10000010,10001100)
(01011010,01001001)
(10010110,10110010)
(11010010,00100000)
(01011111,11001010)
(00011100,11111100)
(10011110,11011001)
(00010111,00001101)
(11110001,11100011)
(10001011,10101010)
(00011111,01101100)
